DscAfecprinGrouped,Afeccion,Freq
Efecto tóxico del contacto con animales venenosos,Piq Escorpion,289406
Herida de la cabeza,Herida Cabeza,185401
Síndrome del maltrato,Maltrato,153477
Traumatismos superficiales que afectan múltiples regiones del cuerpo,Traumatismos Superficiales,74721
Traumatismo superficial de la cabeza,Traumatismos Superficiales Cabeza,72405
Herida de la muñeca y de la mano,Herida Mano,67750
Traumatismo de regiones no especificadas del cuerpo,Traumatismos Graves,65642
Fractura del antebrazo,Fractura Brazo,61216
Herida de la pierna,Herida Pierna,45676
Traumatismo intracraneal,Traumatismo intracraneal,42084
